keys,en
quest.q_intro.name,"A Town Called Ashvale"
quest.q_intro.desc,"Find the people still standing"
quest.q_intro.step.0,"Speak to the Caretaker"
quest.q_intro.step.1,"Find the Blacksmith"
quest.q_intro.step.2,"Find the Witch"
quest.q_intro.step.3,"Return to the Caretaker"
quest.q_rebuild_town_hall.name,"Raise the Hall"
quest.q_rebuild_town_hall.desc,"The Town Hall was the heart of Ashvale. Rebuild it"
quest.q_rebuild_town_hall.step.0,"Speak to the Caretaker about the Town Hall"
quest.q_rebuild_town_hall.step.1,"Gather wood"
quest.q_rebuild_town_hall.step.2,"Deliver the wood to the Caretaker"
quest.q_rebuild_blacksmith.name,"Relight the Forge"
quest.q_rebuild_blacksmith.desc,"The Blacksmith won't ask for help. Give it anyway."
quest.q_rebuild_blacksmith.step.0,"Talk to the Blacksmith"
quest.q_rebuild_blacksmith.step.1,"Gather wood"
quest.q_rebuild_blacksmith.step.2,"Gather coal"
quest.q_rebuild_blacksmith.step.3,"Gather iron"
quest.q_rebuild_blacksmith.step.4,"Deliver the wood to the Blacksmith"
quest.q_rebuild_blacksmith.step.5,"Deliver the coal to the Blacksmith"
quest.q_rebuild_blacksmith.step.6,"Deliver the iron to the Blacksmith"
quest.q_rebuild_alchemist.name,"Mend the Workshop"
quest.q_rebuild_alchemist.desc,"The Witch's workshop is where she lives and works and watches. Help her take it back."
quest.q_rebuild_alchemist.step.0,"Speak to the Witch"
quest.q_rebuild_alchemist.step.1,"Gather wood"
quest.q_rebuild_alchemist.step.2,"Gather stone"
quest.q_rebuild_alchemist.step.3,"Gather green slime cubes"
quest.q_rebuild_alchemist.step.4,"Deliver the wood to the Witch"
quest.q_rebuild_alchemist.step.5,"Deliver the stone to the Witch"
quest.q_rebuild_alchemist.step.6,"Deliver the green slime cubes to the Witch"
quest.q_witch_crafting_table.name,"Tools of the Trade"
quest.q_witch_crafting_table.desc,"The Witch has given you a crafting table. Find a good spot for it in town."
quest.q_witch_crafting_table.step.0,"Speak to the Witch"
quest.q_witch_crafting_table.step.1,"Place the crafting table in town"
quest.q_witch_crafting_table.step.2,"Speak to the Witch"
